id,target
0,1
2,0
3,0
9,0
11,0
12,0
21,0
22,0
27,0
29,1
30,0
35,1
42,1
43,1
45,0
46,0
47,0
51,0
58,0
60,1
69,0
70,0
72,0
75,0
84,0
87,1
88,0
90,0
94,0
99,1
101,0
103,0
106,0
108,0
111,0
115,0
116,0
122,0
123,0
124,0
125,0
127,0
140,1
142,0
147,0
148,0
150,0
152,0
154,0
155,0
166,0
167,0
169,1
177,0
179,0
181,0
186,0
188,0
189,1
192,0
200,0
202,0
206,1
207,0
214,0
217,0
223,0
224,1
227,0
228,0
230,1
233,0
234,0
236,0
239,0
250,1
255,0
257,0
259,1
275,0
278,0
282,0
284,0
286,1
288,1
292,0
295,0
300,0
304,0
305,0
306,0
308,0
311,0
317,1
319,0
323,0
324,0
325,0
326,0
333,1
339,1
342,0
343,0
350,0
351,0
357,0
359,0
362,0
366,0
367,0
369,0
373,0
374,0
376,0
377,0
378,0
379,0
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,0
400,1
403,0
405,1
408,0
411,0
414,1
416,1
417,0
422,0
425,0
428,0
430,1
431,1
433,0
434,0
439,0
441,0
449,0
458,1
460,0
464,0
473,0
488,0
491,1
494,0
497,0
500,0
505,0
507,0
508,1
510,1
511,1
515,1
525,1
529,0
532,0
534,0
537,1
539,0
541,0
545,1
547,0
548,0
549,0
553,1
554,0
555,0
557,1
562,1
566,0
572,0
573,0
582,0
586,0
587,0
590,0
591,1
593,0
595,1
596,0
597,0
601,1
602,0
605,1
610,1
616,1
618,0
620,0
626,1
627,1
629,1
632,0
634,0
639,0
645,0
647,0
648,0
650,1
663,0
666,1
668,0
670,1
673,1
676,0
678,0
692,0
693,0
694,0
695,0
696,0
698,0
701,1
703,0
707,0
708,0
711,0
715,0
718,0
722,0
723,1
733,0
741,1
742,0
743,0
747,0
749,0
750,0
756,1
757,1
760,1
764,0
765,0
766,0
768,0
769,1
771,0
772,1
776,0
778,0
780,0
785,0
789,0
792,1
793,0
811,0
813,1
816,0
821,1
824,0
825,1
827,0
830,1
831,1
839,1
844,1
847,1
850,1
854,1
855,1
858,0
861,1
862,1
865,1
869,1
879,1
880,0
887,0
889,1
897,0
900,1
901,1
904,1
908,1
909,1
910,1
913,1
914,1
917,1
918,1
920,1
922,1
924,1
925,1
927,0
933,0
937,1
943,0
949,1
950,1
954,1
966,0
967,1
969,1
970,0
973,0
975,0
980,0
988,0
989,0
995,0
1000,0
1003,0
1007,0
1011,1
1012,0
1013,0
1014,0
1016,0
1019,0
1025,0
1027,1
1028,0
1030,0
1033,0
1034,0
1039,0
1046,1
1047,0
1053,1
1055,1
1056,1
1059,1
1060,0
1063,1
1064,1
1068,0
1076,1
1086,0
1087,0
1089,0
1092,0
1095,0
1096,1
1097,0
1100,0
1101,1
1107,0
1108,1
1111,1
1115,0
1116,1
1121,1
1125,1
1127,0
1131,0
1133,0
1135,0
1137,0
1140,1
1144,1
1147,0
1148,0
1150,0
1158,0
1159,0
1161,0
1163,0
1165,0
1169,0
1171,0
1172,0
1176,0
1180,1
1184,0
1186,0
1187,0
1192,0
1193,1
1194,0
1197,1
1200,0
1205,0
1210,0
1216,0
1220,1
1231,1
1233,0
1246,0
1247,1
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,1
1266,0
1268,0
1274,1
1281,0
1285,1
1286,1
1291,1
1292,0
1295,1
1299,1
1306,0
1310,0
1311,0
1313,0
1314,0
1322,0
1323,0
1325,0
1329,0
1330,1
1333,0
1336,0
1339,1
1342,0
1344,0
1355,0
1357,0
1358,1
1359,1
1364,1
1366,1
1367,0
1370,0
1373,0
1377,1
1386,1
1387,1
1392,1
1397,1
1398,1
1400,1
1403,1
1404,1
1410,1
1413,1
1416,1
1417,1
1423,1
1424,1
1426,0
1427,0
1428,1
1430,1
1434,1
1435,1
1437,0
1438,1
1442,1
1446,0
1451,1
1457,0
1461,1
1462,1
1465,1
1468,0
1469,1
1471,1
1476,1
1478,0
1481,0
1489,1
1490,1
1492,0
1496,1
1512,0
1516,1
1517,1
1528,1
1529,1
1536,1
1539,1
1541,0
1542,1
1548,1
1550,0
1551,0
1552,0
1557,1
1563,1
1564,0
1565,0
1566,1
1571,1
1578,1
1581,1
1583,1
1584,1
1586,1
1589,1
1592,1
1598,1
1606,0
1612,1
1616,1
1620,0
1624,1
1629,1
1630,0
1635,1
1640,1
1641,1
1642,1
1651,1
1655,1
1656,1
1659,0
1664,1
1667,1
1668,1
1674,0
1678,1
1680,0
1681,0
1682,0
1685,0
1695,0
1696,0
1697,1
1704,0
1708,0
1711,0
1713,0
1714,0
1717,0
1729,1
1730,1
1732,0
1734,0
1736,1
1738,0
1742,0
1743,1
1746,0
1748,1
1749,0
1751,1
1758,1
1764,0
1765,0
1777,1
1778,0
1781,0
1782,1
1783,1
1785,0
1788,1
1793,1
1794,1
1795,1
1797,1
1800,1
1801,1
1805,1
1806,1
1819,0
1820,1
1825,0
1828,0
1829,1
1830,0
1839,1
1843,0
1844,0
1846,0
1849,0
1850,0
1854,0
1855,1
1858,1
1859,0
1862,0
1867,0
1868,1
1871,0
1872,0
1874,1
1876,0
1879,0
1884,1
1891,0
1894,0
1896,1
1902,1
1903,0
1904,0
1906,0
1907,1
1912,1
1913,0
1923,0
1926,1
1928,0
1930,0
1931,0
1934,0
1936,1
1944,0
1946,1
1947,0
1958,0
1964,0
1970,0
1974,1
1977,1
1978,1
1982,1
1984,0
1988,0
1993,0
1997,0
1998,1
2002,0
2004,0
2005,0
2008,0
2011,1
2013,0
2018,0
2021,1
2025,1
2029,1
2030,1
2032,1
2037,1
2041,1
2044,1
2048,0
2052,1
2053,1
2054,1
2062,0
2065,1
2066,0
2072,0
2079,0
2080,0
2085,0
2088,1
2090,1
2092,0
2093,0
2101,0
2104,0
2105,0
2106,0
2107,0
2120,0
2124,0
2127,0
2130,0
2132,1
2135,0
2137,0
2140,0
2143,1
2147,0
2151,0
2152,0
2155,0
2156,0
2162,0
2165,0
2166,1
2167,0
2168,0
2170,0
2178,1
2180,1
2182,0
2184,0
2185,0
2187,0
2196,0
2197,0
2199,1
2200,0
2201,0
2202,0
2206,0
2208,0
2218,0
2223,0
2224,0
2226,0
2228,0
2232,0
2234,0
2243,0
2247,0
2249,0
2252,0
2253,0
2259,0
2261,0
2264,0
2268,0
2269,0
2270,0
2276,0
2283,1
2287,0
2290,0
2291,0
